"","x","y","c","z"
"246",9967.59226133354,-1219.41794940693,8,1
"247",9134.17433593084,-1216.9567715147,3,0
"248",2631.98896156991,-1228.55361523187,1,4
"249",9536.7912614039,-1238.49276181859,0,0
"250",4676.96633872673,-1257.90592731116,0,0
"251",12803.0961441532,-1233.08801663306,8,6
"252",8358.90008519867,-1266.29432267059,3,0
"253",7821.14822222222,-1243.66837037037,3,0
"254",10336.1770421714,-1238.51091533329,8,1
"255",4518.31580575317,-1240.46087225487,0,0
"256",12926.9437903226,-1253.75080645161,12,6
"257",8008.63075592228,-1264.67607133351,3,0
"258",3399.12655999172,-1262.72274869246,0,0
"259",244.62873437323,-1283.5447369415,7,5
"260",13013.608494085,-1234.75418309709,12,6
"261",907.742459310139,-1306.31745557712,12,0
"262",12211.033476899,-1270.90877055599,0,1
"263",1874.215606339,-1295.1897680294,1,4
"264",3682.6929732128,-1292.33886085076,0,0
"265",13102.105345912,-1321.46471513134,12,6
"266",1420.72310467505,-1323.80613318635,13,4
"267",12084.7434885198,-1292.02640893003,8,1
"268",9336.88885520482,-1318.03164197203,0,0
"269",4339.85101451478,-1319.22539706665,0,0
"270",5111.39151635282,-1358.13835480674,0,0
"271",10808.1340617,-1349.89871480221,8,1
"272",11487.2587749701,-1343.88301090176,8,1
"273",12785.8433375416,-1335.47750487777,3,6
"274",2678.31827065443,-1336.96079360379,1,4
"275",7341.83579132732,-1349.8813559322,1,0
"276",4549.23266112142,-1361.53156603435,0,0
"277",5286.56802465721,-1359.00260797408,0,0
"278",7801.81256681316,-1377.1052381518,0,0
"279",520.612711903984,-1356.90057441741,5,0
"280",11263.3326962062,-1382.3506516073,12,1
"281",12231.8519279469,-1400.63839648335,0,1
"282",3418.40481140481,-1402.99160974161,6,0
"283",1884.86843485864,-1420.55237540076,1,4
"284",3651.89755877544,-1431.52269267633,0,0
"285",12515.6568408804,-1408.84563172695,3,1
"286",12814.7758576219,-1427.90078239188,3,6
"287",8606.80130259485,-1439.08777008167,0,0
"288",11921.2791181025,-1448.92301736083,8,1
"289",1381.78123420742,-1457.67853332585,1,4
"290",6039.78273141318,-1478.45705305023,3,0
"291",9338.68210351012,-1460.40295926211,0,0
"292",4828.04689740893,-1483.08514198298,0,0
"293",9021.60137181543,-1493.96855513985,0,0
"294",10070.0656436488,-1512.12395566922,8,1
"295",8652.02336561743,-1512.21023002421,0,0
"296",3892.74439703385,-1507.41356311363,0,0
"297",5940.64992972044,-1522.74129314384,12,0
"298",3372.38930368017,-1520.33370399788,5,0
"299",5579.13081754254,-1514.15534918675,5,0
"300",12309.4813442914,-1523.19940579542,8,1
"301",6613.9061138651,-1529.33479795704,0,0
"302",13328.3815760462,-1542.73726683424,7,6
"303",7285.56208438432,-1527.72500573263,0,0
"304",11480.5716522246,-1544.27000655356,8,1
"305",2670.02129210266,-1551.71456088292,13,4
"306",5232.35745799305,-1552.62700647705,5,0
"307",7951.52851418002,-1548.53876387176,0,0
"308",9329.18683551161,-1559.20308796641,0,0
"309",10198.4446711116,-1568.58717285302,3,1
"310",8815.33097604097,-1574.95464244346,0,0
"311",1263.9676511955,-1584.25073839662,0,0
"312",4811.22930794449,-1601.98338348228,0,0
"313",7712.82264520873,-1590.6856465975,0,0
"314",6921.35606120047,-1594.49183993723,7,0
"315",6774.15126525079,-1587.38808555505,0,0
"316",10561.551474051,-1604.57120655552,8,1
"317",1630.31485312371,-1605.28411844672,13,4
"318",4273.59570847207,-1617.95101738809,0,0
"319",1891.3525220681,-1631.12553593947,13,4
"320",8604.25672490294,-1641.99320576816,0,0
"321",12538.9482071713,-1650.73618027888,8,1
"322",7384.24760449121,-1664.42672388455,0,0
"323",9048.91610213653,-1656.91051210384,0,0
"324",11095.6251592194,-1657.23477862129,8,1
"325",12375.6024527758,-1663.42849499979,8,1
"326",8721.75058988585,-1658.36158408265,0,0
"327",10370.9186189889,-1666.20629389374,3,1
"328",11912.44519203,-1668.47198960439,8,1
"329",6650.44678580955,-1672.99583889037,0,0
"330",400.779635743956,-1686.33603152625,0,0
"331",5471.52402069475,-1693.79151268785,4,0
"332",10638.0582331594,-1695.15513721932,8,1
"333",3419.99835967193,-1726.07077415483,0,0
"334",1471.21282393505,-1712.69897675453,1,4
"335",7607.07543458484,-1729.91450910969,0,0
"336",1831.43544414646,-1723.40583438235,1,4
"337",5065.35560468041,-1720.83172618821,0,0
"338",2349.47427137824,-1720.22280345895,1,4
"339",12812.437598143,-1741.92309005257,8,1
"340",9733.71796782536,-1736.82685311007,0,0
"341",4820.26272042616,-1761.05239713446,0,0
"342",3513.17420292333,-1762.37251047098,0,0
"343",733.204448608299,-1771.32796397594,0,0
"344",8600.52736682524,-1774.04751947305,0,0
"345",4057.06725762727,-1769.61676492104,0,0
"346",6136.40038709677,-1775.36806451613,1,0
"347",10084.8215580897,-1763.12151002753,0,0
"348",4429.86452889543,-1793.25277791872,0,0
"349",9595.37656813654,-1791.37672966134,0,0
"350",204.144328327922,-1795.1033887987,12,0
"351",3672.70454240922,-1792.46797534504,0,0
"352",10459.3029420193,-1792.19853854236,0,1
"353",5896.95276747603,-1780.50556294171,0,0
"354",4560.3270471464,-1782.57433534208,4,0
"355",5415.58163512858,-1823.50745997089,0,0
"356",6628.49573774243,-1848.10315235425,0,0
"357",11077.6854345165,-1823.6418715923,8,1
"358",10945.871798263,-1827.34647092536,8,1
"359",12398.7540188524,-1850.67931317714,8,1
"360",2935.45449456547,-1864.35112189206,13,4
"361",11521.9124850359,-1855.55980646449,8,1
"362",3673.23628272704,-1916.25062645814,0,0
"363",4553.74141814578,-1882.76529417065,4,0
"364",7434.63267714091,-1879.20822207042,3,0
"365",6522.66237549969,-1887.09817738329,5,0
"366",9102.99012175511,-1894.61723715445,0,0
"367",9521.0110938902,-1887.81352475732,3,0
"368",1536.77125105902,-1891.64354702062,1,4
"369",13458.3607497597,-1876.39208586991,5,6
"370",3242.13530671275,-1879.97584613651,0,0
"371",7074.87413357518,-1912.11226274535,12,0
"372",11999.2009871887,-1906.70816926404,7,1
"373",8733.11454342273,-1890.69141123882,3,0
"374",8474.9543678419,-1922.11161015046,0,0
"375",6337.71599220948,-1926.72343648561,0,0
"376",4077.51338601726,-1944.41597451818,0,0
"377",8905.05956667298,-1946.88320384057,0,0
"378",2229.73659133346,-1914.5755585603,1,4
"379",4247.09419758329,-1951.05304404895,0,0
"380",8262.11386990767,-1938.93850086068,5,0
"381",10193.0146763722,-1947.49954751131,8,1
"382",2129.23684964885,-1940.49304858822,13,4
"383",5990.44353835522,-1951.10276434001,5,0
"384",11876.6775137112,-1965.24552102377,7,1
"385",13693.8702714831,-1979.58653803006,3,6
"386",13803.2984370716,-1978.04069097889,5,6
"387",8074.15101361706,-1971.47226235825,0,0
"388",1327.44124367553,-1995.00722213155,1,4
"389",9605.87557720607,-2014.57578525397,0,0
"390",12071.3768993552,-2002.16450798991,7,1
"391",1674.53988868275,-2012.00479282622,1,4
"392",11673.3345761063,-2048.19976225212,8,1
"393",2221.31402557148,-2048.07826423867,1,4
"394",12249.3270460358,-2019.00262858767,2,1
"395",2522.38153606693,-2026.61904761905,3,4
"396",9914.66095563813,-2043.86408629024,0,0
"397",2086.16673001394,-2050.76979602179,1,4
"398",5163.64453437695,-2058.5639953749,0,0
"399",12614.597120524,-2083.294497482,8,1
"400",3174.17823483468,-2071.4416558188,0,0
"401",4701.31373479896,-2088.95997516707,0,0
"402",6500.39347098424,-2062.2763548836,4,0
"403",11264.2526635491,-2100.91920165839,8,1
"404",9130.21066694609,-2110.97411850998,0,0
"405",10750.3875932221,-2129.21672332464,0,1
"406",3428.0169431836,-2106.30172953514,0,0
"407",337.585382271664,-2104.65166867427,0,0
"408",12088.0980120785,-2121.44325616507,2,1
"409",3812.05918591859,-2124.0699669967,0,0
"410",5413.99631929211,-2132.80057255456,0,0
"411",8682.97172519376,-2126.94297196441,0,0
"412",10433.5376389937,-2137.16958047692,8,1
"413",12316.5780895306,-2127.00531190411,8,1
"414",11364.6960888216,-2163.47383295483,1,1
"415",11064.7263847088,-2149.46332963726,8,1
"416",2620.13862968723,-2182.8433125972,1,4
"417",8496.02176591376,-2185.27186858316,0,0
"418",12201.3946967388,-2176.77283348573,8,1
"419",6304.27274110902,-2183.4504084014,12,0
"420",5189.62386015736,-2246.76794943543,0,0
"421",3177.20498061788,-2189.50969106073,5,0
"422",13042.421541944,-2206.33679161389,0,1
"423",3705.11208967174,-2216.75660528423,0,0
"424",9477.67261483265,-2217.96893735543,0,0
"425",7248.25086539273,-2222.63594405201,0,0
"426",7624.07864447564,-2212.6102666934,0,0
"427",2081.32318160798,-2257.27647486292,1,4
"428",8784.93323505635,-2217.86361690998,0,0
"429",4035.58892480237,-2205.416488181,0,0
"430",11604.5599727009,-2249.07179662174,8,1
"431",3560.02119940243,-2230.53275947926,0,0
"432",6576.76660536333,-2262.36747786664,0,0
"433",12233.9352375888,-2282.49811980097,8,1
"434",10307.7912354021,-2276.3574971683,0,0
"435",6417.21656472144,-2279.92957513639,12,0
"436",1581.49256332068,-2294.60601157508,13,4
"437",10558.7181253721,-2298.18010546908,8,1
"438",6947.63752539966,-2306.61752393077,0,0
"439",9010.96635317484,-2302.79432209825,0,0
"440",3166.3875777388,-2301.76327539467,13,4
"441",12545.9264799716,-2277.13139548623,8,1
